,day_type,name,time,waiting_time
246,1,Baron1898(Frontrow),09:20:00,0.0
247,1,Baron1898(Frontrow),09:25:00,0.0
248,1,Baron1898(Frontrow),09:30:00,0.0
249,1,Baron1898(Frontrow),09:35:00,0.0
250,1,Baron1898(Frontrow),09:40:00,0.0
251,1,Baron1898(Frontrow),09:45:00,0.0
252,1,Baron1898(Frontrow),09:50:00,0.0
253,1,Baron1898(Frontrow),09:55:00,5.0
254,1,Baron1898(Frontrow),10:00:00,5.0
255,1,Baron1898(Frontrow),10:05:00,15.0
256,1,Baron1898(Frontrow),10:10:00,15.0
257,1,Baron1898(Frontrow),10:15:00,15.0
258,1,Baron1898(Frontrow),10:20:00,15.0
259,1,Baron1898(Frontrow),10:25:00,15.0
260,1,Baron1898(Frontrow),10:30:00,15.0
261,1,Baron1898(Frontrow),10:35:00,15.0
262,1,Baron1898(Frontrow),10:40:00,15.0
263,1,Baron1898(Frontrow),10:45:00,15.0
264,1,Baron1898(Frontrow),10:50:00,15.0
265,1,Baron1898(Frontrow),10:55:00,15.0
266,1,Baron1898(Frontrow),11:00:00,15.0
267,1,Baron1898(Frontrow),11:05:00,15.0
268,1,Baron1898(Frontrow),11:10:00,20.0
269,1,Baron1898(Frontrow),11:15:00,15.0
270,1,Baron1898(Frontrow),11:20:00,15.0
271,1,Baron1898(Frontrow),11:25:00,15.0
272,1,Baron1898(Frontrow),11:30:00,20.0
273,1,Baron1898(Frontrow),11:35:00,15.0
274,1,Baron1898(Frontrow),11:40:00,15.0
275,1,Baron1898(Frontrow),11:45:00,15.0
276,1,Baron1898(Frontrow),11:50:00,15.0
277,1,Baron1898(Frontrow),11:55:00,15.0
278,1,Baron1898(Frontrow),12:00:00,15.0
279,1,Baron1898(Frontrow),12:05:00,15.0
280,1,Baron1898(Frontrow),12:10:00,15.0
281,1,Baron1898(Frontrow),12:15:00,15.0
282,1,Baron1898(Frontrow),12:20:00,10.0
283,1,Baron1898(Frontrow),12:25:00,10.0
284,1,Baron1898(Frontrow),12:30:00,10.0
285,1,Baron1898(Frontrow),12:35:00,10.0
286,1,Baron1898(Frontrow),12:40:00,10.0
287,1,Baron1898(Frontrow),12:45:00,10.0
288,1,Baron1898(Frontrow),12:50:00,10.0
289,1,Baron1898(Frontrow),12:55:00,10.0
290,1,Baron1898(Frontrow),13:00:00,10.0
291,1,Baron1898(Frontrow),13:05:00,10.0
292,1,Baron1898(Frontrow),13:10:00,10.0
293,1,Baron1898(Frontrow),13:15:00,10.0
294,1,Baron1898(Frontrow),13:20:00,10.0
295,1,Baron1898(Frontrow),13:25:00,10.0
296,1,Baron1898(Frontrow),13:30:00,10.0
297,1,Baron1898(Frontrow),13:35:00,10.0
298,1,Baron1898(Frontrow),13:40:00,5.0
299,1,Baron1898(Frontrow),13:45:00,5.0
300,1,Baron1898(Frontrow),13:50:00,5.0
301,1,Baron1898(Frontrow),13:55:00,5.0
302,1,Baron1898(Frontrow),14:00:00,5.0
303,1,Baron1898(Frontrow),14:05:00,5.0
304,1,Baron1898(Frontrow),14:10:00,5.0
305,1,Baron1898(Frontrow),14:15:00,5.0
306,1,Baron1898(Frontrow),14:20:00,5.0
307,1,Baron1898(Frontrow),14:25:00,5.0
308,1,Baron1898(Frontrow),14:30:00,5.0
309,1,Baron1898(Frontrow),14:35:00,5.0
310,1,Baron1898(Frontrow),14:40:00,5.0
311,1,Baron1898(Frontrow),14:45:00,5.0
312,1,Baron1898(Frontrow),14:50:00,5.0
313,1,Baron1898(Frontrow),14:55:00,5.0
314,1,Baron1898(Frontrow),15:00:00,5.0
315,1,Baron1898(Frontrow),15:05:00,5.0
316,1,Baron1898(Frontrow),15:10:00,5.0
317,1,Baron1898(Frontrow),15:15:00,5.0
318,1,Baron1898(Frontrow),15:20:00,5.0
319,1,Baron1898(Frontrow),15:25:00,5.0
320,1,Baron1898(Frontrow),15:30:00,5.0
321,1,Baron1898(Frontrow),15:35:00,5.0
322,1,Baron1898(Frontrow),15:40:00,5.0
323,1,Baron1898(Frontrow),15:45:00,5.0
324,1,Baron1898(Frontrow),15:50:00,5.0
325,1,Baron1898(Frontrow),15:55:00,5.0
326,1,Baron1898(Frontrow),16:00:00,5.0
327,1,Baron1898(Frontrow),16:05:00,5.0
328,1,Baron1898(Frontrow),16:10:00,5.0
329,1,Baron1898(Frontrow),16:15:00,5.0
330,1,Baron1898(Frontrow),16:20:00,5.0
331,1,Baron1898(Frontrow),16:25:00,5.0
332,1,Baron1898(Frontrow),16:30:00,5.0
333,1,Baron1898(Frontrow),16:35:00,5.0
334,1,Baron1898(Frontrow),16:40:00,5.0
335,1,Baron1898(Frontrow),16:45:00,5.0
336,1,Baron1898(Frontrow),16:50:00,5.0
337,1,Baron1898(Frontrow),16:55:00,5.0
338,1,Baron1898(Frontrow),17:00:00,5.0
339,1,Baron1898(Frontrow),17:05:00,5.0
340,1,Baron1898(Frontrow),17:10:00,5.0
341,1,Baron1898(Frontrow),17:15:00,5.0
342,1,Baron1898(Frontrow),17:20:00,5.0
343,1,Baron1898(Frontrow),17:25:00,5.0
344,1,Baron1898(Frontrow),17:30:00,5.0
345,1,Baron1898(Frontrow),17:35:00,5.0
346,1,Baron1898(Frontrow),17:40:00,5.0
347,1,Baron1898(Frontrow),17:45:00,0.0
348,1,Baron1898(Frontrow),17:50:00,0.0
349,1,Baron1898(Frontrow),17:55:00,0.0
350,1,Baron1898(Frontrow),18:00:00,0.0
351,1,Baron1898(Frontrow),18:05:00,0.0
352,1,Baron1898(Frontrow),18:10:00,0.0
353,1,Baron1898(Frontrow),18:15:00,0.0
