;Ingang;JorisendeDraak;Baron1898;Droomvlucht;DeVliegendeHollander;Pirana;Python;CarnavalFestival;Stoomcarrousel;FataMorgana;Kleuterhof;VogelRok;VillaVolta;Bobbaan;HalveMaen;OudeTuffer;PandaDroom;MonsieurCannibale;Pagode;Kinderspoor;Gondoletta;KinderAvonturendoolhof;PolkaMarina;Spookslot;Diorama;Stoomtrein(Ruigrijk);Stoomtrein(Marerijk);Raveleijn;DeSprookjesboom;Aquanura;PardoesEnPardijn;DeVuurprinsEnSneeuwprinses;EftelingBewoners
Kleuterhof;22,8;19,2;13,2;15,6;18;15,6;18;3,36;10,8;19,2;0;2,88;15,6;16,8;13,2;13,2;18;2,09;5,76;5,52;5,28;1,54;14,4;15,6;13,2;14,4;15,6;15,60;15,60;19,20;13,20;10,80;19,20
VogelRok;21,6;20,4;14,4;13,2;19,2;15,6;19,2;0,72;16,8;20,4;2,88;0;12;16,8;14,4;14,4;16,8;0,72;5,52;8,4;5,04;1,3;15,6;15,6;9,6;15,6;12;12,00;13,20;20,40;9,60;16,80;20,40
VillaVolta;19,2;26,4;19,2;2,4;24;19,2;24;12;6,24;21,6;15,6;12;0;20,4;19,2;20,4;18;13,2;15,6;20,4;16,8;14,4;20,4;15,6;6,72;20,4;0;0,00;2,40;21,60;6,72;6,24;21,60
Bobbaan;9,6;9,6;5,76;20,4;9,6;3,84;10,8;16,8;16,8;3,6;16,8;16,8;20,4;0;12;13,2;9,6;15,6;10,8;13,2;12;15,6;13,2;4,8;13,2;14,4;20,4;20,40;20,40;3,60;13,20;16,80;3,60
HalveMaen;20,4;6,24;6,72;19,2;5,52;12;4,8;14,4;16,8;15,6;13,2;14,4;19,2;12;0;0,38;15,6;13,2;8,4;7,2;9,6;13,2;0,6;12;13,2;2,4;19,2;19,20;19,20;15,60;13,20;16,80;15,60
OudeTuffer;20,4;6;7,2;20,4;5,04;10,8;6;15,6;16,8;16,8;13,2;14,4;20,4;13,2;0,38;0;15,6;14,4;9,6;8,4;9,6;13,2;0,24;13,2;13,2;1,2;20,4;20,40;20,40;16,80;13,20;16,80;16,80
PandaDroom;12;14,4;9,6;18;13,2;8,4;15,6;18;14,4;12;18;16,8;18;9,6;15,6;15,6;0;16,8;12;16,8;12;15,6;15,6;4,32;12;15,6;18;18,00;18,00;12,00;12,00;14,40;12,00
MonsieurCannibale;21,6;20,4;14,4;13,2;18;14,4;18;1,2;8,4;19,2;2,09;0,72;13,2;15,6;13,2;14,4;16,8;0;4,8;7,2;4,32;0,55;14,4;14,4;10,8;14,4;13,2;13,20;13,20;19,20;10,80;8,40;19,20
Pagode;16,8;15,6;8,4;16,8;13,2;9,6;13,2;6;12;14,4;5,76;5,52;15,6;10,8;8,4;9,6;12;4,8;0;9,6;0,48;4,08;9,6;9,6;9,6;10,8;15,6;15,60;16,80;14,40;9,60;12,00;14,40
Kinderspoor;20,4;14,4;7,2;20,4;12;12;12;8,4;16,8;16,8;5,52;8,4;20,4;13,2;7,2;8,4;16,8;7,2;9,6;0;9,6;6,96;8,4;13,2;13,2;8,4;20,4;20,40;20,40;16,80;13,20;16,80;16,80
Gondoletta;16,8;15,6;8,4;16,8;13,2;10,8;14,4;5,52;13,2;14,4;5,28;5,04;16,8;12;9,6;9,6;12;4,32;0,48;9,6;0;3,6;9,6;9,6;9,6;9,6;16,8;16,80;16,80;14,40;9,60;13,20;14,40
KinderAvonturendoolhof;20,4;19,2;13,2;13,2;16,8;14,4;18;1,85;9,6;18;1,54;1,3;14,4;15,6;13,2;13,2;15,6;0,55;4,08;6,96;3,6;0;13,2;14,4;10,8;13,2;14,4;14,40;13,20;18,00;10,80;9,60;18,00
PolkaMarina;21,6;5,52;7,2;21,6;4,8;10,8;2,88;15,6;16,8;16,8;14,4;15,6;20,4;13,2;0,6;0,24;15,6;14,4;9,6;8,4;9,6;13,2;0;13,2;13,2;0,96;20,4;20,40;21,60;16,80;13,20;16,80;16,80
Spookslot;10,8;9,6;6;15,6;9,6;4,08;10,8;15,6;13,2;8,4;15,6;15,6;15,6;4,8;12;13,2;4,32;14,4;9,6;13,2;9,6;14,4;13,2;0;9,6;13,2;15,6;15,60;15,60;8,40;9,60;13,20;8,40
Diorama;14,4;18;13,2;6,72;16,8;13,2;18;9,6;3,36;16,8;13,2;9,6;6,72;13,2;13,2;13,2;12;10,8;9,6;13,2;9,6;10,8;13,2;9,6;0;14,4;6,72;6,72;6,72;16,80;0,00;3,36;16,80
Stoomtrein(Ruigrijk);22,8;5,52;8,4;21,6;4,8;12;3,6;15,6;16,8;16,8;14,4;15,6;20,4;14,4;2,4;1,2;15,6;14,4;10,8;8,4;9,6;13,2;0,96;13,2;14,4;0;20,4;20,40;21,60;16,80;14,40;16,80;16,80
Stoomtrein(Marerijk);19,2;26,4;19,2;2,4;24;19,2;24;12;6,24;21,6;15,6;12;0;20,4;19,2;20,4;18;13,2;15,6;20,4;16,8;14,4;20,4;15,6;6,72;20,4;0;0,00;2,40;21,60;6,72;6,24;21,60
Raveleijn;19,20;26,40;19,20;2,40;24,00;19,20;24,00;12,00;6,24;21,60;15,60;12,00;0,00;20,40;19,20;20,40;18,00;13,20;15,60;20,40;16,80;14,40;20,40;15,60;6,72;20,40;0,00;0,00;10,80;18,00;12,00;10,80;18,00
DeSprookjesboom;20,40;28,80;19,20;0,00;26,40;19,20;26,40;13,20;6,24;21,60;15,60;13,20;2,40;20,40;19,20;20,40;18,00;13,20;16,80;20,40;16,80;13,20;21,60;15,60;6,72;21,60;2,40;10,80;0,00;16,80;10,80;5,76;16,80
Aquanura;12,00;13,20;9,60;21,60;13,20;7,20;14,40;20,40;18,00;0,00;19,20;20,40;21,60;3,60;15,60;16,80;12,00;19,20;14,40;16,80;14,40;18,00;16,80;8,40;16,80;16,80;21,60;18,00;16,80;0,00;9,60;13,20;2,00
PardoesEnPardijn;14,40;18,00;13,20;6,72;16,80;13,20;18,00;9,60;3,36;16,80;13,20;9,60;6,72;13,20;13,20;13,20;12,00;10,80;9,60;13,20;9,60;10,80;13,20;9,60;0,00;14,40;6,72;12,00;10,80;9,60;0,00;7,20;9,60
DeVuurprinsEnSneeuwprinses;16,80;24,00;15,60;6,24;20,40;15,60;20,40;7,20;0,00;18,00;10,80;16,80;6,24;16,80;16,80;16,80;14,40;8,40;12,00;16,80;13,20;9,60;16,80;13,20;3,36;16,80;6,24;10,80;5,76;13,20;7,20;0,00;13,20
EftelingBewoners;12,00;13,20;9,60;21,60;13,20;7,20;14,40;20,40;18,00;0,00;19,20;20,40;21,60;3,60;15,60;16,80;12,00;19,20;14,40;16,80;14,40;18,00;16,80;8,40;16,80;16,80;21,60;18,00;16,80;2,00;9,60;13,20;0,00
