;date;hour;name;waiting_time;;gemiddelde wachttijd;standaardafwijking;gemiddelde/dag
126;06/11/2016;09:10:00;HalveMaen;0;;0,00;0,00;
127;06/11/2016;09:15:00;HalveMaen;0;;0,00;0,00;
128;06/11/2016;09:20:00;HalveMaen;0;;0,00;0,00;
129;06/11/2016;09:25:00;HalveMaen;0;;0,00;0,00;
130;06/11/2016;09:30:00;HalveMaen;0;;0,00;0,00;
131;06/11/2016;09:35:00;HalveMaen;0;;0,00;0,00;
132;06/11/2016;09:40:00;HalveMaen;0;;0,00;0,00;
133;06/11/2016;09:45:00;HalveMaen;0;;0,00;0,00;
134;06/11/2016;09:50:00;HalveMaen;0;;0,00;0,00;
135;06/11/2016;09:55:00;HalveMaen;0;;0,00;0,00;
136;06/11/2016;10:00:00;HalveMaen;0;;0,00;0,00;
137;06/11/2016;10:05:00;HalveMaen;0;;0,00;0,00;
138;06/11/2016;10:10:00;HalveMaen;0;;0,00;0,00;
139;06/11/2016;10:15:00;HalveMaen;0;;0,00;0,00;
140;06/11/2016;10:20:00;HalveMaen;0;;0,00;0,00;
141;06/11/2016;10:25:00;HalveMaen;0;;0,00;0,00;
142;06/11/2016;10:30:00;HalveMaen;0;;0,00;0,00;
143;06/11/2016;10:35:00;HalveMaen;0;;0,00;0,00;
144;06/11/2016;10:40:00;HalveMaen;0;;0,00;0,00;
145;06/11/2016;10:45:00;HalveMaen;0;;0,00;0,00;
146;06/11/2016;10:50:00;HalveMaen;0;;0,00;0,00;
147;06/11/2016;10:55:00;HalveMaen;0;;1,25;2,31;
148;06/11/2016;11:00:00;HalveMaen;0;;1,25;2,31;
149;06/11/2016;11:05:00;HalveMaen;0;;1,25;2,31;
150;06/11/2016;11:10:00;HalveMaen;0;;2,50;3,78;
151;06/11/2016;11:15:00;HalveMaen;0;;3,75;3,54;
152;06/11/2016;11:20:00;HalveMaen;0;;3,75;3,54;
153;06/11/2016;11:25:00;HalveMaen;0;;3,75;3,54;
154;06/11/2016;11:30:00;HalveMaen;0;;3,75;3,54;
155;06/11/2016;11:35:00;HalveMaen;0;;3,75;3,54;
156;06/11/2016;11:40:00;HalveMaen;0;;3,75;4,43;
157;06/11/2016;11:45:00;HalveMaen;0;;3,75;4,43;
158;06/11/2016;11:50:00;HalveMaen;5;;5,63;4,17;
159;06/11/2016;11:55:00;HalveMaen;5;;5,63;4,17;
160;06/11/2016;12:00:00;HalveMaen;5;;5,63;4,17;
161;06/11/2016;12:05:00;HalveMaen;5;;5,63;4,17;
