,date,hour,name,waiting_time,day_type
53025,2016-11-02,11:15:00,VogelRok,5,1
53024,2016-11-02,11:10:00,VogelRok,5,1
53023,2016-11-02,11:05:00,VogelRok,5,1
53022,2016-11-02,11:00:00,VogelRok,5,1
53021,2016-11-02,10:55:00,VogelRok,5,1
53020,2016-11-02,10:50:00,VogelRok,5,1
53047,2016-11-02,13:05:00,VogelRok,5,1
53019,2016-11-02,10:45:00,VogelRok,5,1
53048,2016-11-02,13:10:00,VogelRok,5,1
53050,2016-11-02,13:20:00,VogelRok,5,1
53077,2016-11-02,15:35:00,VogelRok,10,1
53076,2016-11-02,15:30:00,VogelRok,10,1
53075,2016-11-02,15:25:00,VogelRok,10,1
53074,2016-11-02,15:20:00,VogelRok,10,1
53073,2016-11-02,15:15:00,VogelRok,10,1
53072,2016-11-02,15:10:00,VogelRok,10,1
53071,2016-11-02,15:05:00,VogelRok,10,1
53070,2016-11-02,15:00:00,VogelRok,10,1
53069,2016-11-02,14:55:00,VogelRok,10,1
53068,2016-11-02,14:50:00,VogelRok,10,1
53067,2016-11-02,14:45:00,VogelRok,5,1
53066,2016-11-02,14:40:00,VogelRok,5,1
53065,2016-11-02,14:35:00,VogelRok,5,1
53064,2016-11-02,14:30:00,VogelRok,5,1
53063,2016-11-02,14:25:00,VogelRok,5,1
53062,2016-11-02,14:20:00,VogelRok,5,1
53061,2016-11-02,14:15:00,VogelRok,5,1
53060,2016-11-02,14:10:00,VogelRok,5,1
53059,2016-11-02,14:05:00,VogelRok,5,1
53058,2016-11-02,14:00:00,VogelRok,5,1
53057,2016-11-02,13:55:00,VogelRok,5,1
53056,2016-11-02,13:50:00,VogelRok,5,1
53055,2016-11-02,13:45:00,VogelRok,5,1
53054,2016-11-02,13:40:00,VogelRok,5,1
53053,2016-11-02,13:35:00,VogelRok,5,1
53052,2016-11-02,13:30:00,VogelRok,5,1
53051,2016-11-02,13:25:00,VogelRok,5,1
53049,2016-11-02,13:15:00,VogelRok,5,1
53018,2016-11-02,10:40:00,VogelRok,5,1
53017,2016-11-02,10:35:00,VogelRok,5,1
53016,2016-11-02,10:30:00,VogelRok,5,1
52983,2016-11-02,17:35:00,CarnavalFestival,5,1
52982,2016-11-02,17:30:00,CarnavalFestival,5,1
52981,2016-11-02,17:25:00,CarnavalFestival,5,1
52980,2016-11-02,17:20:00,CarnavalFestival,5,1
52979,2016-11-02,17:15:00,CarnavalFestival,5,1
52978,2016-11-02,17:10:00,CarnavalFestival,5,1
52977,2016-11-02,17:05:00,CarnavalFestival,5,1
52976,2016-11-02,17:00:00,CarnavalFestival,5,1
52975,2016-11-02,16:55:00,CarnavalFestival,5,1
52974,2016-11-02,16:50:00,CarnavalFestival,5,1
52973,2016-11-02,16:45:00,CarnavalFestival,5,1
52972,2016-11-02,16:40:00,CarnavalFestival,5,1
52971,2016-11-02,16:35:00,CarnavalFestival,5,1
52970,2016-11-02,16:30:00,CarnavalFestival,5,1
52969,2016-11-02,16:25:00,CarnavalFestival,5,1
52968,2016-11-02,16:20:00,CarnavalFestival,5,1
52967,2016-11-02,16:15:00,CarnavalFestival,5,1
52966,2016-11-02,16:10:00,CarnavalFestival,5,1
52965,2016-11-02,16:05:00,CarnavalFestival,5,1
52964,2016-11-02,16:00:00,CarnavalFestival,5,1
52963,2016-11-02,15:55:00,CarnavalFestival,5,1
52962,2016-11-02,15:50:00,CarnavalFestival,5,1
52961,2016-11-02,15:45:00,CarnavalFestival,5,1
52960,2016-11-02,15:40:00,CarnavalFestival,5,1
52959,2016-11-02,15:35:00,CarnavalFestival,5,1
52958,2016-11-02,15:30:00,CarnavalFestival,5,1
52957,2016-11-02,15:25:00,CarnavalFestival,5,1
52984,2016-11-02,17:40:00,CarnavalFestival,5,1
52985,2016-11-02,17:45:00,CarnavalFestival,5,1
52986,2016-11-02,17:50:00,CarnavalFestival,0,1
52987,2016-11-02,17:55:00,CarnavalFestival,0,1
53015,2016-11-02,10:25:00,VogelRok,5,1
53014,2016-11-02,10:20:00,VogelRok,5,1
53013,2016-11-02,10:15:00,VogelRok,5,1
53012,2016-11-02,10:10:00,VogelRok,5,1
53011,2016-11-02,10:05:00,VogelRok,5,1
53010,2016-11-02,10:00:00,VogelRok,5,1
53009,2016-11-02,09:55:00,VogelRok,5,1
53008,2016-11-02,09:50:00,VogelRok,5,1
53007,2016-11-02,09:45:00,VogelRok,5,1
53006,2016-11-02,09:40:00,VogelRok,5,1
53005,2016-11-02,09:35:00,VogelRok,5,1
53004,2016-11-02,09:30:00,VogelRok,0,1
53003,2016-11-02,09:25:00,VogelRok,0,1
52955,2016-11-02,15:15:00,CarnavalFestival,5,1
53002,2016-11-02,09:20:00,VogelRok,0,1
53000,2016-11-02,09:10:00,VogelRok,0,1
52999,2016-11-02,09:05:00,VogelRok,0,1
52998,2016-11-02,09:00:00,VogelRok,0,1
52997,2016-11-02,08:55:00,VogelRok,0,1
52996,2016-11-02,08:50:00,VogelRok,0,1
52995,2016-11-02,08:45:00,VogelRok,0,1
52994,2016-11-02,08:40:00,VogelRok,0,1
52993,2016-11-02,08:35:00,VogelRok,0,1
52992,2016-11-02,08:30:00,VogelRok,0,1
52991,2016-11-02,18:15:00,CarnavalFestival,0,1
52990,2016-11-02,18:10:00,CarnavalFestival,0,1
52989,2016-11-02,18:05:00,CarnavalFestival,0,1
52988,2016-11-02,18:00:00,CarnavalFestival,0,1
53001,2016-11-02,09:15:00,VogelRok,0,1
52830,2016-11-02,14:40:00,Baron1898(Frontrow),5,1
52829,2016-11-02,14:35:00,Baron1898(Frontrow),5,1
52828,2016-11-02,14:30:00,Baron1898(Frontrow),5,1
52670,2016-11-02,11:10:00,Baron1898(Singleriders),5,1
52669,2016-11-02,11:05:00,Baron1898(Singleriders),5,1
52668,2016-11-02,11:00:00,Baron1898(Singleriders),5,1
52667,2016-11-02,10:55:00,Baron1898(Singleriders),5,1
52666,2016-11-02,10:50:00,Baron1898(Singleriders),5,1
52665,2016-11-02,10:45:00,Baron1898(Singleriders),5,1
52664,2016-11-02,10:40:00,Baron1898(Singleriders),5,1
52663,2016-11-02,10:35:00,Baron1898(Singleriders),5,1
52662,2016-11-02,10:30:00,Baron1898(Singleriders),5,1
52661,2016-11-02,10:25:00,Baron1898(Singleriders),5,1
52660,2016-11-02,10:20:00,Baron1898(Singleriders),5,1
52659,2016-11-02,10:15:00,Baron1898(Singleriders),5,1
52658,2016-11-02,10:10:00,Baron1898(Singleriders),5,1
52657,2016-11-02,10:05:00,Baron1898(Singleriders),5,1
52656,2016-11-02,10:00:00,Baron1898(Singleriders),5,1
52655,2016-11-02,09:55:00,Baron1898(Singleriders),5,1
52654,2016-11-02,09:50:00,Baron1898(Singleriders),0,1
52653,2016-11-02,09:45:00,Baron1898(Singleriders),0,1
52652,2016-11-02,09:40:00,Baron1898(Singleriders),0,1
52651,2016-11-02,09:35:00,Baron1898(Singleriders),0,1
52650,2016-11-02,09:30:00,Baron1898(Singleriders),0,1
52649,2016-11-02,09:25:00,Baron1898(Singleriders),0,1
52648,2016-11-02,09:20:00,Baron1898(Singleriders),0,1
52647,2016-11-02,09:15:00,Baron1898(Singleriders),0,1
52646,2016-11-02,09:10:00,Baron1898(Singleriders),0,1
52645,2016-11-02,09:05:00,Baron1898(Singleriders),0,1
52644,2016-11-02,09:00:00,Baron1898(Singleriders),0,1
52671,2016-11-02,11:15:00,Baron1898(Singleriders),5,1
52643,2016-11-02,08:55:00,Baron1898(Singleriders),0,1
52672,2016-11-02,11:20:00,Baron1898(Singleriders),5,1
52674,2016-11-02,11:30:00,Baron1898(Singleriders),5,1
52701,2016-11-02,13:45:00,Baron1898(Singleriders),0,1
52700,2016-11-02,13:40:00,Baron1898(Singleriders),0,1
52699,2016-11-02,13:35:00,Baron1898(Singleriders),5,1
52698,2016-11-02,13:30:00,Baron1898(Singleriders),5,1
52697,2016-11-02,13:25:00,Baron1898(Singleriders),5,1
52696,2016-11-02,13:20:00,Baron1898(Singleriders),5,1
52695,2016-11-02,13:15:00,Baron1898(Singleriders),5,1
52694,2016-11-02,13:10:00,Baron1898(Singleriders),5,1
52693,2016-11-02,13:05:00,Baron1898(Singleriders),5,1
52692,2016-11-02,13:00:00,Baron1898(Singleriders),5,1
52691,2016-11-02,12:55:00,Baron1898(Singleriders),5,1
52690,2016-11-02,12:50:00,Baron1898(Singleriders),5,1
52689,2016-11-02,12:45:00,Baron1898(Singleriders),5,1
52688,2016-11-02,12:40:00,Baron1898(Singleriders),5,1
52687,2016-11-02,12:35:00,Baron1898(Singleriders),5,1
52686,2016-11-02,12:30:00,Baron1898(Singleriders),5,1
52685,2016-11-02,12:25:00,Baron1898(Singleriders),5,1
52684,2016-11-02,12:20:00,Baron1898(Singleriders),5,1
52683,2016-11-02,12:15:00,Baron1898(Singleriders),5,1
52682,2016-11-02,12:10:00,Baron1898(Singleriders),5,1
52681,2016-11-02,12:05:00,Baron1898(Singleriders),5,1
52680,2016-11-02,12:00:00,Baron1898(Singleriders),5,1
52679,2016-11-02,11:55:00,Baron1898(Singleriders),5,1
52678,2016-11-02,11:50:00,Baron1898(Singleriders),5,1
52677,2016-11-02,11:45:00,Baron1898(Singleriders),5,1
52676,2016-11-02,11:40:00,Baron1898(Singleriders),5,1
52675,2016-11-02,11:35:00,Baron1898(Singleriders),5,1
52673,2016-11-02,11:25:00,Baron1898(Singleriders),5,1
52642,2016-11-02,08:50:00,Baron1898(Singleriders),0,1
52641,2016-11-02,08:45:00,Baron1898(Singleriders),0,1
52640,2016-11-02,08:40:00,Baron1898(Singleriders),0,1
52607,2016-11-02,15:45:00,Baron1898,0,1
52606,2016-11-02,15:40:00,Baron1898,0,1
52605,2016-11-02,15:35:00,Baron1898,0,1
52604,2016-11-02,15:30:00,Baron1898,0,1
52603,2016-11-02,15:25:00,Baron1898,0,1
52602,2016-11-02,15:20:00,Baron1898,0,1
52601,2016-11-02,15:15:00,Baron1898,0,1
52600,2016-11-02,15:10:00,Baron1898,0,1
52599,2016-11-02,15:05:00,Baron1898,0,1
52598,2016-11-02,15:00:00,Baron1898,0,1
52597,2016-11-02,14:55:00,Baron1898,0,1
52596,2016-11-02,14:50:00,Baron1898,0,1
52595,2016-11-02,14:45:00,Baron1898,0,1
52594,2016-11-02,14:40:00,Baron1898,0,1
52593,2016-11-02,14:35:00,Baron1898,0,1
52592,2016-11-02,14:30:00,Baron1898,0,1
52591,2016-11-02,14:25:00,Baron1898,0,1
52590,2016-11-02,14:20:00,Baron1898,0,1
52589,2016-11-02,14:15:00,Baron1898,0,1
52588,2016-11-02,14:10:00,Baron1898,0,1
52587,2016-11-02,14:05:00,Baron1898,0,1
52586,2016-11-02,14:00:00,Baron1898,0,1
52585,2016-11-02,13:55:00,Baron1898,0,1
52584,2016-11-02,13:50:00,Baron1898,0,1
52583,2016-11-02,13:45:00,Baron1898,0,1
52582,2016-11-02,13:40:00,Baron1898,0,1
52581,2016-11-02,13:35:00,Baron1898,5,1
52608,2016-11-02,15:50:00,Baron1898,0,1
52609,2016-11-02,15:55:00,Baron1898,0,1
52610,2016-11-02,16:00:00,Baron1898,0,1
52611,2016-11-02,16:05:00,Baron1898,0,1
52639,2016-11-02,08:35:00,Baron1898(Singleriders),0,1
52638,2016-11-02,08:30:00,Baron1898(Singleriders),0,1
52637,2016-11-02,18:15:00,Baron1898,0,1
52636,2016-11-02,18:10:00,Baron1898,0,1
52635,2016-11-02,18:05:00,Baron1898,0,1
52634,2016-11-02,18:00:00,Baron1898,0,1
52633,2016-11-02,17:55:00,Baron1898,0,1
52632,2016-11-02,17:50:00,Baron1898,0,1
52631,2016-11-02,17:45:00,Baron1898,0,1
52630,2016-11-02,17:40:00,Baron1898,0,1
52629,2016-11-02,17:35:00,Baron1898,0,1
52628,2016-11-02,17:30:00,Baron1898,0,1
52627,2016-11-02,17:25:00,Baron1898,0,1
52702,2016-11-02,13:50:00,Baron1898(Singleriders),0,1
52626,2016-11-02,17:20:00,Baron1898,0,1
52624,2016-11-02,17:10:00,Baron1898,0,1
52623,2016-11-02,17:05:00,Baron1898,0,1
52622,2016-11-02,17:00:00,Baron1898,0,1
52621,2016-11-02,16:55:00,Baron1898,0,1
52620,2016-11-02,16:50:00,Baron1898,0,1
52619,2016-11-02,16:45:00,Baron1898,0,1
52618,2016-11-02,16:40:00,Baron1898,0,1
52617,2016-11-02,16:35:00,Baron1898,0,1
52616,2016-11-02,16:30:00,Baron1898,0,1
52615,2016-11-02,16:25:00,Baron1898,0,1
52614,2016-11-02,16:20:00,Baron1898,0,1
52613,2016-11-02,16:15:00,Baron1898,0,1
52612,2016-11-02,16:10:00,Baron1898,0,1
52625,2016-11-02,17:15:00,Baron1898,0,1
52703,2016-11-02,13:55:00,Baron1898(Singleriders),0,1
52704,2016-11-02,14:00:00,Baron1898(Singleriders),0,1
52705,2016-11-02,14:05:00,Baron1898(Singleriders),0,1
52795,2016-11-02,11:45:00,Baron1898(Frontrow),15,1
52794,2016-11-02,11:40:00,Baron1898(Frontrow),15,1
52793,2016-11-02,11:35:00,Baron1898(Frontrow),15,1
52792,2016-11-02,11:30:00,Baron1898(Frontrow),20,1
52791,2016-11-02,11:25:00,Baron1898(Frontrow),15,1
52790,2016-11-02,11:20:00,Baron1898(Frontrow),15,1
52789,2016-11-02,11:15:00,Baron1898(Frontrow),15,1
52788,2016-11-02,11:10:00,Baron1898(Frontrow),20,1
52787,2016-11-02,11:05:00,Baron1898(Frontrow),15,1
52786,2016-11-02,11:00:00,Baron1898(Frontrow),15,1
52785,2016-11-02,10:55:00,Baron1898(Frontrow),15,1
52784,2016-11-02,10:50:00,Baron1898(Frontrow),15,1
52783,2016-11-02,10:45:00,Baron1898(Frontrow),15,1
52782,2016-11-02,10:40:00,Baron1898(Frontrow),15,1
52781,2016-11-02,10:35:00,Baron1898(Frontrow),15,1
52780,2016-11-02,10:30:00,Baron1898(Frontrow),15,1
52779,2016-11-02,10:25:00,Baron1898(Frontrow),15,1
52778,2016-11-02,10:20:00,Baron1898(Frontrow),15,1
52777,2016-11-02,10:15:00,Baron1898(Frontrow),15,1
52776,2016-11-02,10:10:00,Baron1898(Frontrow),15,1
52775,2016-11-02,10:05:00,Baron1898(Frontrow),15,1
52774,2016-11-02,10:00:00,Baron1898(Frontrow),5,1
52773,2016-11-02,09:55:00,Baron1898(Frontrow),5,1
52772,2016-11-02,09:50:00,Baron1898(Frontrow),0,1
52771,2016-11-02,09:45:00,Baron1898(Frontrow),0,1
52770,2016-11-02,09:40:00,Baron1898(Frontrow),0,1
52769,2016-11-02,09:35:00,Baron1898(Frontrow),0,1
52796,2016-11-02,11:50:00,Baron1898(Frontrow),15,1
52797,2016-11-02,11:55:00,Baron1898(Frontrow),15,1
52798,2016-11-02,12:00:00,Baron1898(Frontrow),15,1
52799,2016-11-02,12:05:00,Baron1898(Frontrow),15,1
52827,2016-11-02,14:25:00,Baron1898(Frontrow),5,1
52826,2016-11-02,14:20:00,Baron1898(Frontrow),5,1
52825,2016-11-02,14:15:00,Baron1898(Frontrow),5,1
52824,2016-11-02,14:10:00,Baron1898(Frontrow),5,1
52823,2016-11-02,14:05:00,Baron1898(Frontrow),5,1
52822,2016-11-02,14:00:00,Baron1898(Frontrow),5,1
52821,2016-11-02,13:55:00,Baron1898(Frontrow),5,1
52820,2016-11-02,13:50:00,Baron1898(Frontrow),5,1
52819,2016-11-02,13:45:00,Baron1898(Frontrow),5,1
52818,2016-11-02,13:40:00,Baron1898(Frontrow),5,1
52817,2016-11-02,13:35:00,Baron1898(Frontrow),10,1
52816,2016-11-02,13:30:00,Baron1898(Frontrow),10,1
52815,2016-11-02,13:25:00,Baron1898(Frontrow),10,1
52768,2016-11-02,09:30:00,Baron1898(Frontrow),0,1
52814,2016-11-02,13:20:00,Baron1898(Frontrow),10,1
52812,2016-11-02,13:10:00,Baron1898(Frontrow),10,1
52811,2016-11-02,13:05:00,Baron1898(Frontrow),10,1
52810,2016-11-02,13:00:00,Baron1898(Frontrow),10,1
52809,2016-11-02,12:55:00,Baron1898(Frontrow),10,1
52808,2016-11-02,12:50:00,Baron1898(Frontrow),10,1
52807,2016-11-02,12:45:00,Baron1898(Frontrow),10,1
52806,2016-11-02,12:40:00,Baron1898(Frontrow),10,1
52805,2016-11-02,12:35:00,Baron1898(Frontrow),10,1
52804,2016-11-02,12:30:00,Baron1898(Frontrow),10,1
52803,2016-11-02,12:25:00,Baron1898(Frontrow),10,1
52802,2016-11-02,12:20:00,Baron1898(Frontrow),10,1
52801,2016-11-02,12:15:00,Baron1898(Frontrow),15,1
52800,2016-11-02,12:10:00,Baron1898(Frontrow),15,1
52813,2016-11-02,13:15:00,Baron1898(Frontrow),10,1
53078,2016-11-02,15:40:00,VogelRok,10,1
52767,2016-11-02,09:25:00,Baron1898(Frontrow),0,1
52765,2016-11-02,09:15:00,Baron1898(Frontrow),0,1
