,date,hour,name,waiting_time
233,2016-11-27,18:05:00,HalveMaen,0
234,2016-11-27,18:10:00,HalveMaen,0
235,2016-11-27,18:15:00,HalveMaen,0
236,2016-11-27,08:30:00,OudeTuffer,0
237,2016-11-27,08:35:00,OudeTuffer,0
238,2016-11-27,08:40:00,OudeTuffer,0
239,2016-11-27,08:45:00,OudeTuffer,0
240,2016-11-27,08:50:00,OudeTuffer,0
241,2016-11-27,08:55:00,OudeTuffer,0
242,2016-11-27,09:00:00,OudeTuffer,0
243,2016-11-27,09:05:00,OudeTuffer,0
244,2016-11-27,09:10:00,OudeTuffer,0
245,2016-11-27,09:15:00,OudeTuffer,0
246,2016-11-27,09:20:00,OudeTuffer,0
247,2016-11-27,09:25:00,OudeTuffer,0
248,2016-11-27,09:30:00,OudeTuffer,0
249,2016-11-27,09:35:00,OudeTuffer,0
250,2016-11-27,09:40:00,OudeTuffer,0
251,2016-11-27,09:45:00,OudeTuffer,0
252,2016-11-27,09:50:00,OudeTuffer,0
253,2016-11-27,09:55:00,OudeTuffer,0
254,2016-11-27,10:00:00,OudeTuffer,0
255,2016-11-27,10:05:00,OudeTuffer,0
256,2016-11-27,10:10:00,OudeTuffer,0
257,2016-11-27,10:15:00,OudeTuffer,0
258,2016-11-27,10:20:00,OudeTuffer,0
259,2016-11-27,10:25:00,OudeTuffer,0
260,2016-11-27,10:30:00,OudeTuffer,0
261,2016-11-27,10:35:00,OudeTuffer,0
262,2016-11-27,10:40:00,OudeTuffer,0
263,2016-11-27,10:45:00,OudeTuffer,0
264,2016-11-27,10:50:00,OudeTuffer,0
265,2016-11-27,10:55:00,OudeTuffer,0
266,2016-11-27,11:00:00,OudeTuffer,0
267,2016-11-27,11:05:00,OudeTuffer,0
268,2016-11-27,11:10:00,OudeTuffer,0
269,2016-11-27,11:15:00,OudeTuffer,0
270,2016-11-27,11:20:00,OudeTuffer,0
271,2016-11-27,11:25:00,OudeTuffer,0
272,2016-11-27,11:30:00,OudeTuffer,0
273,2016-11-27,11:35:00,OudeTuffer,5
274,2016-11-27,11:40:00,OudeTuffer,5
275,2016-11-27,11:45:00,OudeTuffer,10
276,2016-11-27,11:50:00,OudeTuffer,10
277,2016-11-27,11:55:00,OudeTuffer,10
278,2016-11-27,12:00:00,OudeTuffer,10
279,2016-11-27,12:05:00,OudeTuffer,10
280,2016-11-27,12:10:00,OudeTuffer,10
281,2016-11-27,12:15:00,OudeTuffer,10
282,2016-11-27,12:20:00,OudeTuffer,15
283,2016-11-27,12:25:00,OudeTuffer,15
284,2016-11-27,12:30:00,OudeTuffer,20
285,2016-11-27,12:35:00,OudeTuffer,20
286,2016-11-27,12:40:00,OudeTuffer,25
287,2016-11-27,12:45:00,OudeTuffer,25
288,2016-11-27,12:50:00,OudeTuffer,25
289,2016-11-27,12:55:00,OudeTuffer,25
290,2016-11-27,13:00:00,OudeTuffer,25
291,2016-11-27,13:05:00,OudeTuffer,25
292,2016-11-27,13:10:00,OudeTuffer,25
293,2016-11-27,13:15:00,OudeTuffer,25
294,2016-11-27,13:20:00,OudeTuffer,25
295,2016-11-27,13:25:00,OudeTuffer,25
296,2016-11-27,13:30:00,OudeTuffer,20
297,2016-11-27,13:35:00,OudeTuffer,20
298,2016-11-27,13:40:00,OudeTuffer,20
299,2016-11-27,13:45:00,OudeTuffer,20
300,2016-11-27,13:50:00,OudeTuffer,20
301,2016-11-27,13:55:00,OudeTuffer,20
302,2016-11-27,14:00:00,OudeTuffer,20
303,2016-11-27,14:05:00,OudeTuffer,20
304,2016-11-27,14:10:00,OudeTuffer,20
305,2016-11-27,14:15:00,OudeTuffer,20
306,2016-11-27,14:20:00,OudeTuffer,20
307,2016-11-27,14:25:00,OudeTuffer,20
308,2016-11-27,14:30:00,OudeTuffer,20
309,2016-11-27,14:35:00,OudeTuffer,20
310,2016-11-27,14:40:00,OudeTuffer,20
311,2016-11-27,14:45:00,OudeTuffer,20
312,2016-11-27,14:50:00,OudeTuffer,20
313,2016-11-27,14:55:00,OudeTuffer,20
314,2016-11-27,15:00:00,OudeTuffer,20
315,2016-11-27,15:05:00,OudeTuffer,20
316,2016-11-27,15:10:00,OudeTuffer,20
317,2016-11-27,15:15:00,OudeTuffer,25
318,2016-11-27,15:20:00,OudeTuffer,25
319,2016-11-27,15:25:00,OudeTuffer,25
320,2016-11-27,15:30:00,OudeTuffer,25
321,2016-11-27,15:35:00,OudeTuffer,25
322,2016-11-27,15:40:00,OudeTuffer,25
323,2016-11-27,15:45:00,OudeTuffer,30
324,2016-11-27,15:50:00,OudeTuffer,30
